State,County,county_geoid,Remove from Map,Percent Students Enrolled in CNC,Students Enrolled in CNC Schools,Number of Districts,Number of Schools,Number of Counselors,Number of Law Enforcement,Sum of Counselors,Number Cop no Counselor Schools,White Students Enrolled,White Students Enrolled in CNC,MTW Status,latitude,longitude,MTW Status,DISTRICT,SCHOOL,MTW Status,Number of Social Workers,Number of Psychologists,Number of Nurses,Number of Teachers,MTW Status,MTW Status
KS,Sumner,20191,,6.0%,231,7,20,12.6,1.64,0,1,3248,193,Matching,37.270664,-97.391873,Matching,Wellington,Wellington Middle School,Matching,1.7,3.35,5.4,363.78,Matching,Matching
IL,Rock Island,17161,,6.0%,1288,10,47,45.5,29,0,6,11801,1143,Matching,41.49,-90.39,Matching,Black Hawk Area Sp Ed District,Phoenix Program,Matching,31.1,19.5,43.2,1275.76,Matching,Matching
OH,Columbiana,39029,,6.0%,943,12,38,27.05,9.84,0,2,14624,923,Matching,40.783815,-80.928157,Matching,United Local,United High School,Matching,1,14.23,24.11,1029.65,Matching,Matching
WY,Uinta,56041,,6.0%,270,3,13,12.76,6,0,2,3844,239,Matching,41.26833,-110.9625,Matching,Uinta County School District #1,Horizon Alternative School,Matching,4.63,4.9,7.86,377.58,Matching,Matching
NY,Rensselaer,36083,,6.0%,1288,14,40,56.8,4.7,0,2,16084,887,Matching,42.577533,-73.683926,Matching,RENSSELAER-COLUMBIA-GREENE BOCES (QUESTAR III),RENSSELAER-COLUMBIA-GREENE BOCES,Matching,39.5,41.7,54.9,1789.4,Matching,Matching
MI,Kalamazoo,26077,,6.0%,2117,17,84,49.15,13.8,0,4,22179,1504,Matching,42.256511,-85.67979,Matching,Youth Advancement Academy,Youth Advancement Academy,Matching,14.32,26.53,5.83,1998.06,Matching,Matching
NC,Wilson,37195,,5.9%,848,3,29,38.24,14,0,1,4575,7,Matching,35.744181,-77.910673,Matching,Wilson County Schools,Toisnot Middle,Matching,4.4,7.1,11,983.84,Matching,Matching
MS,Coahoma,28027,,5.9%,246,3,13,12.5,8.5,0,1,118,0,Matching,34.190332,-90.580222,Matching,CLARKSDALE MUNICIPAL SCHOOL DIST,JEROME W. STAMPLEY 9TH GRADE ACADEM,Matching,0,0.5,7,317,Matching,Matching
IN,Steuben,18151,,5.8%,211,2,9,10,1.84,0,1,3144,193,Matching,41.728527,-84.938095,Matching,Fremont Community Schools,Fremont High School,Matching,2,1.1,2.83,201.01,Matching,Matching
SD,Oglala Lakota,46102,1,5.8%,80,1,5,3,5,0,1,2,0,Matching,43.03,-102.56,Matching,Oglala Lakota County 65-1,Oglala Lakota County Alternative - 09,Matching,5.5,1,4,106,Matching,Matching
MS,Pike,28113,,5.8%,433,3,14,15.5,8,0,2,2104,44,Matching,31.26,-90.47,Matching,MCCOMB SCHOOL DISTRICT,DENMAN JUNIOR HIGH SCHOOL,Matching,5,0,12,440,Matching,Matching
CT,New Haven,9009,,5.8%,5630,30,205,303.35,71.25,0,15,46071,2621,Matching,41.501471,-72.90849,Matching,CHESHIRE SCHOOL DISTRICT,Humiston Alternative School,Matching,187.12,151.02,204.34,8110.56,Matching,Matching
NC,Burke,37023,,5.8%,761,3,29,33,26,0,3,9206,612,Matching,35.754181,-81.768798,Matching,Burke County Schools,Table Rock Middle,Matching,7,4,6,946.84,Matching,Matching
MT,Blaine,30005,,5.7%,111,11,17,11.43,3,0,1,769,2,Matching,48,-108.69,Matching,Hays-Lodge Pole K-12 Schls,Hays-Lodge Pole High Sch,Matching,0,2.69,3.5,200.01,Matching,Matching
ID,Bannock,16005,,5.7%,741,2,29,26.72,11.5,0,4,10632,685,Matching,42.86,-112.45,Matching,POCATELLO DISTRICT,POCATELLO HIGH SCHOOL,Matching,8.5,7.98,5.25,639.85,Matching,Matching
IL,Lake,17097,,5.7%,7312,49,194,262.43,25.08,0,14,64729,3671,Matching,42.419683,-88.096336,Matching,CHSD 117,Allendale School,Matching,291.15,185.06,191.32,9382.77,Matching,Matching
FL,Glades,12043,1,5.6%,92,1,5,4,5,0,1,620,7,Matching,27.078206,-81.096799,Matching,GLADES,PEMAYETV EMAHAKV CHARTER MIDDLE SCHOOL,Matching,0,0,0,109,Matching,Matching
OK,Osage,40113,,5.6%,321,12,26,15.57,6.05,0,3,3077,198,Matching,36.366608,-96.013608,Matching,SKIATOOK,SKIATOOK HS,Matching,1,1.8,1.67,423.14,Matching,Matching
NY,Monroe,36055,,5.6%,5937,30,177,280.5,37,0,10,59988,544,Matching,43.217309,-77.597177,Matching,WEST IRONDEQUOIT CENTRAL SCHOOL DISTRICT,IRONDEQUOIT HIGH SCHOOL,Matching,145.7,151.25,200.15,9381.38,Matching,Matching
NY,Jefferson,36045,,5.5%,977,11,38,46.5,7,0,2,14057,692,Matching,44.143808,-75.713156,Matching,INDIAN RIVER CENTRAL SCHOOL DISTRICT,INDIAN RIVER HIGH SCHOOL,Matching,18,29.37,43,1324.38,Matching,Matching
MI,Oakland,26125,,5.5%,9890,54,328,286.47,37.02,0,24,113681,7247,Matching,42.481107,-83.095607,Matching,Madison District Public Schools,Madison Preparatory High School,Matching,205.65,114.97,17.6,9957.54,Matching,Matching
KY,Clinton,21053,,5.4%,142,1,6,7,4,0,1,2365,130,Matching,36.750362,-85.21055,Matching,Clinton County,Foothills Academy,Matching,0.5,0.5,5,174.54,Matching,Matching
OK,Sequoyah,40135,,5.4%,448,11,25,20.5,15,0,1,3595,235,Matching,35.495493,-94.973268,Matching,VIAN,VIAN HS,Matching,19,0,12.5,559.88,Matching,Matching
MI,Wayne,26163,,5.4%,15077,135,539,442.49,81.5,0,33,122005,12223,Matching,42.27653,-83.141152,Matching,River Rouge School District of the City of,CB Sabbath 6-8 Preparatory Academy,Matching,335.03,138.82,65.79,15193.46,Matching,Matching
FL,Palm Beach,12099,,5.4%,10344,3,230,341,177,0,18,62193,3399,Matching,26.701428,-80.108175,Matching,PALM BEACH,GOLD COAST COMMUNITY SCHOOL,Matching,9,11,1,11878.62,Matching,Matching
MI,Lenawee,26091,,5.4%,832,12,42,28.81,0.85,0,3,12348,432,Matching,41.868505,-84.02276,Matching,Madison School District (Lenawee),Madison High School,Matching,4.46,0.25,4.92,859.13,Matching,Matching
MN,Crow Wing,27035,,5.4%,543,6,20,17,2,0,1,9215,496,Matching,46.48,-93.95,Matching,CROSBY-IRONTON PUBLIC SCHOOL DIST.,CROSBY-IRONTON SECONDARY,Matching,6.5,6.4,7.07,623.53,Matching,Matching
WI,Outagamie,55087,,5.4%,1612,8,67,65.41,25.3,0,12,24421,1278,Matching,44.443713,-88.575472,Matching,Shiocton School District,Shiocton High,Matching,13.2,24.61,18.03,1980.96,Matching,Matching
MA,Worcester,25027,,5.3%,6096,49,218,326.31,51.36,0,14,75674,4247,Matching,42.69898,-72.043659,Matching,Winchendon,Murdock Academy for Success,Matching,44.01,134.29,243.63,8408.74,Matching,Matching
MN,Dakota,27037,,5.3%,3768,14,117,94.66,23.49,0,5,48213,3186,Matching,44.733448,-93.182451,Matching,INTERMEDIATE SCHOOL DISTRICT 917,TEA,Matching,35.45,66.73,76.17,4471.42,Matching,Matching
CA,Los Angeles,6037,,5.3%,72250,87,1877,2443.79,441.83,0,135,197834,9328,Matching,33.99533,-118.32625,Matching,Los Angeles Unified,Whitney Young Continuation,Matching,282.91,2417.95,1458.23,59014.55,Matching,Matching
IN,Elkhart,18039,,5.3%,1867,7,53,68.25,17.07,0,4,20129,1198,Matching,41.667496,-85.968722,Matching,Elkhart Community Schools,Pierre Moran Middle School,Matching,25,9.1,52,2065.59,Matching,Matching
SC,Union,45087,,5.3%,244,1,10,12,4,0,1,2659,169,Matching,34.80014,-81.67492,Matching,Union 01,Jonesville Middle,Matching,0,2.5,8,326.75,Matching,Matching
NM,Do̱a Ana,35013,,5.3%,2049,8,69,86,16,0,5,4995,247,Matching,32.21,-106.71,Matching,LAS CRUCES PUBLIC SCHOOLS,MESILLA VALLEY ALTERNATIVE MIDDLE SCHOOL,Matching,32.19,13.79,54.75,2529.04,Matching,Matching
IN,Henry,18065,,5.2%,389,5,18,13,7,0,1,6906,367,Matching,39.913992,-85.376596,Matching,New Castle Community Sch Corp,New Castle Middle School,Matching,1,0.33,15.83,484.03,Matching,Matching
CO,Morgan,8087,,5.2%,292,4,18,14.74,6.66,0,1,2379,199,Matching,40.249948,-103.809351,Matching,School District No. Re-3 Fort Morgan,LINCOLN HIGH SCHOOL,Matching,1,0,3.2,361.14,Matching,Matching
NC,Chatham,37037,,5.2%,532,4,21,22.68,9.5,0,1,5700,415,Matching,35.73,-79.46,Matching,Chatham County Schools,SAGE Academy,Matching,5.35,3.71,7.15,835.33,Matching,Matching
KS,Coffey,20031,,5.2%,81,3,11,5.6,8.3,0,1,1406,73,Matching,38.395635,-95.601005,Matching,Lebo-Waverly,Waverly High,Matching,5.2,6,5,135.5,Matching,Matching
MI,Isabella,26073,,5.2%,426,6,22,9.08,1,0,1,6565,313,Matching,43.608574,-84.750304,Matching,Mt. Pleasant City School District,Mary McGuire School,Matching,15.2,7.1,3.2,435.53,Matching,Matching
KS,Thomas,20193,1,5.2%,75,2,7,2.85,2,0,1,1174,67,Matching,39.364998,-101.37678,Matching,Brewster,Brewster High,Matching,0,0,1,110.55,Matching,Matching
MA,Bristol,25005,,5.2%,3375,23,115,199.11,29.29,0,9,47446,2883,Matching,41.636336,-70.948665,Matching,New Bedford,Thomas R Rodman,Matching,19,50.71,134.7,4782.21,Matching,Matching
OR,Clackamas,41005,,5.1%,3079,10,112,117.9,25.46,0,8,43135,2060,Matching,45.293592,-122.33312,Matching,Estacada SD 108,Estacada Middle School,Matching,7,24.34,12.71,2847.48,Matching,Matching
IN,Greene,18055,,5.1%,267,5,13,10.5,10,0,1,4969,247,Matching,39.03,-86.94,Matching,Eastern Greene Schools,Eastern Greene High School,Matching,2,1,10.4,301.4,Matching,Matching
MN,Becker,27005,,5.1%,223,3,10,8.45,1,0,1,3329,40,Matching,46.88,-96.12,Matching,LAKE PARK AUDUBON SCHOOL DISTRICT,LAKE PARK AUDUBON SECONDARY,Matching,2.5,2.75,1.5,347.87,Matching,Matching
CO,Adams,8001,,5.1%,4339,6,138,136.84,30.1,0,9,30304,573,Matching,39.828047,-105.03022,Matching,State Charter School Institute,RICARDO FLORES MAGON ACADEMY,Matching,32.16,90.33,8.68,4355.83,Matching,Matching
CO,Jefferson,8059,,5.1%,4362,2,159,157.79,50.49,0,14,56491,1973,Matching,39.809163,-105.12603,Matching,Jefferson County School District No. R-1,WARREN TECH NORTH,Matching,81.1,55.86,4.85,4980.05,Matching,Matching
CA,Kern,6029,,5.0%,8890,49,253,192.91,49.47,0,19,41463,3441,Matching,35.503378,-119.2806,Matching,Richland Union Elementary,Redwood Elementary,Matching,7.98,141.98,112.01,8081.86,Matching,Matching
NY,Dutchess,36027,,5.0%,2061,14,74,101.7,21.52,0,7,26999,1480,Matching,41.739485,-73.579343,Matching,DOVER UNION FREE SCHOOL DISTRICT,DOVER ELEMENTARY SCHOOL,Matching,45.09,70.5,80.5,3133.24,Matching,Matching
NY,Suffolk,36103,,5.0%,12093,71,345,608.1,61.56,0,21,140083,5592,Matching,40.798085,-73.206879,Matching,CENTRAL ISLIP UNION FREE SCHOOL DISTRICT,CENTRAL ISLIP SENIOR HIGH SCHOOL,Matching,291.41,397.87,403.41,18763.26,Matching,Matching
MI,Menominee,26109,,5.0%,183,7,16,10.47,1.08,0,1,3208,175,Matching,45.42,-87.61,Matching,Stephenson Area Public Schools,Stephenson High School,Matching,4.4,1.4,1,266.94,Matching,Matching
MN,Waseca,27161,,4.9%,160,4,10,8.5,4.35,0,2,2863,104,Matching,43.891367,-93.495575,Matching,NRHEG SCHOOL DISTRICT,NRHEG SECONDARY,Matching,7.5,3.75,6.05,221.67,Matching,Matching
IN,Lake,18089,,4.9%,3963,27,126,129.8,105,0,9,32599,1239,Matching,41.291661,-87.394933,Matching,Tri-Creek School Corporation,Lowell Senior High School,Matching,55.6,26.43,118.3,4476.04,Matching,Matching
NY,Onondaga,36067,,4.9%,3386,20,119,192.98,57.25,0,8,45580,2999,Matching,43.019292,-76.171672,Matching,SYRACUSE CITY SCHOOL DISTRICT,ROBERTS K-8 SCHOOL,Matching,81.3,118.39,129.1,5413.59,Matching,Matching
OH,Portage,39133,,4.8%,1060,14,51,54.2,12.65,0,3,19023,948,Matching,41.16,-81.3,Matching,Ravenna City,Ravenna High School,Matching,1,23.95,33.79,1499.08,Matching,Matching
PA,Franklin,42055,,4.8%,1136,7,41,53,56,0,4,18918,1027,Matching,39.91,-77.65,Matching,Franklin County CTC,Franklin County CTC,Matching,25,25.21,34,1487.78,Matching,Matching
TX,Cass,48067,,4.8%,260,7,18,14,7,0,1,3699,190,Matching,33,-94.36,Matching,LINDEN-KILDARE CISD,LINDEN-KILDARE H S,Matching,0,0,11.99,411.5,Matching,Matching
WA,Clark,53011,,4.8%,3826,12,126,185.32,44.98,0,7,54400,2362,Matching,45.575175,-122.31315,Matching,Washougal School District,Jemtegaard Middle School,Matching,0.06,69.23,48.41,4105.65,Matching,Matching
MN,Washington,27163,,4.8%,2048,13,80,70.9,19,0,4,31945,967,Matching,44.818198,-92.936375,Matching,SOUTH WASHINGTON COUNTY SCHOOL DIST,SOUTH WASHINGTON ALTERNATIVE HS,Matching,22.6,50.25,49.98,2595.25,Matching,Matching
TX,Robertson,48395,,4.8%,125,4,8,6,1,0,1,1157,10,Matching,30.983984,-96.665724,Matching,CALVERT ISD,CALVERT SCHOOL,Matching,0,0,5.33,220.3,Matching,Matching
CA,Fresno,6019,,4.8%,9393,31,318,182.98,53.69,0,16,35093,1823,Matching,36.834649,-119.685603,Matching,Clovis Unified,Clovis Community Day Secondary,Matching,21.03,236.79,142.07,8471.99,Matching,Matching
TX,Bowie,48037,,4.8%,826,12,42,38.5,16.75,0,3,9414,537,Matching,33.467144,-94.283964,Matching,HOOKS ISD,HOOKS H S,Matching,1,1,11,1306.75,Matching,Matching
IL,Will,17197,,4.7%,5849,33,184,157.15,34.5,0,13,66173,5164,Matching,41.303199,-88.131935,Matching,S Will Co Coop for Spec Ed,SOWIC Educ Center,Matching,212.5,122.47,182.43,7759.1,Matching,Matching
MS,Jackson,28059,,4.7%,1119,4,41,57,15.42,0,4,14592,253,Matching,30.47,-88.42,Matching,JACKSON CO SCHOOL DIST,EAST CENTRAL MIDDLE SCHOOL,Matching,6,3.01,19.19,1636,Matching,Matching
NY,Fulton,36035,,4.7%,388,6,21,22,4,0,1,7578,367,Matching,43.05,-74.34,Matching,GLOVERSVILLE CITY SCHOOL DISTRICT,MCNAB-MECO SCHOOL,Matching,9,17,21,682.7,Matching,Matching
IA,Muscatine,19139,,4.7%,343,3,17,16.5,3,0,1,4649,241,Matching,41.433088,-91.053953,Matching,Muscatine Comm School District,Jefferson Elementary School,Matching,0,0,10,556.28,Matching,Matching
MI,Berrien,26021,,4.6%,1126,19,73,36.1,4,0,3,15688,297,Matching,42.075685,-86.341972,Matching,Countryside Academy,Countryside Academy - Middle/High School,Matching,16.24,3.25,4.55,1522.04,Matching,Matching
CA,Humboldt,6023,,4.6%,823,30,87,40.82,1.99,0,8,10476,89,Matching,40.954362,-124.10802,Matching,Northern Humboldt Union High,Tsurai High (Continuation),Matching,3.05,20.14,5.51,977.42,Matching,Matching
WI,Manitowoc,55071,,4.6%,489,6,30,29.17,10,0,1,8491,424,Matching,44.068472,-87.667999,Matching,Manitowoc School District,Monroe Elementary,Matching,1,9.41,5.32,743.52,Matching,Matching
WI,Marinette,55075,,4.6%,261,7,22,16.15,1,0,1,5302,238,Matching,45.636163,-87.995387,Matching,Beecher-Dunbar-Pembine School District,Pembine High,Matching,2.13,4.45,7.29,393.32,Matching,Matching
KS,Butler,20015,,4.6%,656,9,42,41.55,19.08,0,3,12294,531,Matching,37.813309,-96.61874,Matching,Flinthills,Flinthills High School,Matching,4.05,5.68,22.44,960.13,Matching,Matching
MI,Eaton,26045,,4.5%,767,12,42,24.05,10,0,4,13485,676,Matching,42.612072,-85.057825,Matching,Maple Valley Schools,Maple Valley Pathways High School,Matching,11.15,4.83,4.58,922.98,Matching,Matching
IL,Kane,17089,,4.5%,4192,13,133,126.9,22.5,0,7,40982,898,Matching,41.743876,-88.337808,Matching,Carroll/Jo Daviess/Stephenson ROE,RAP Elizabeth,Matching,148.72,89.67,94.63,5761.88,Matching,Matching
IL,Cook,17031,,4.5%,34526,155,1250,1404.28,553.84,0,66,198496,12435,Matching,41.842981,-87.717545,Matching,City of Chicago SD 299,Little Village Elem School,Matching,881.63,470.33,577.06,51764.62,Matching,Matching
MS,Clay,28025,,4.5%,145,1,8,9,2,0,1,636,10,Matching,33.61,-88.65,Matching,WEST POINT CONSOLIDATED SCHOOL DIST,WEST POINT HIGH SCHOOL,Matching,0,0,0,221.5,Matching,Matching
UT,Salt Lake,49035,,4.5%,10661,40,286,312.11,97.63,0,20,158895,5627,Matching,40.551052,-111.90129,Matching,JORDAN DISTRICT,RIVERS EDGE SCHOOL,Matching,51.5,106.16,42.79,9201.2,Matching,Matching
CO,Boulder,8013,,4.5%,2157,1,84,103.04,20.96,0,6,31072,1722,Matching,40.014669,-105.19919,Matching,Boulder Valley School District No. Re2,ARAPAHOE RIDGE HIGH SCHOOL,Matching,14.87,16.7,0,2686.26,Matching,Matching
OH,Hamilton,39061,,4.5%,4960,44,187,173.44,39.49,0,9,54811,2421,Matching,39.218739,-84.550349,Matching,North College Hill City,North College Hill High School,Matching,34.56,116.11,73.37,6232.06,Matching,Matching
CA,Solano,6095,,4.5%,2638,8,99,60.05,11.93,0,5,16382,1157,Matching,38.14,-122.23,Matching,Vallejo City Unified,John Finney High (Continuation),Matching,12.83,58.77,29.39,2818.47,Matching,Matching
IN,Porter,18127,,4.4%,1221,9,51,44.56,17.71,0,3,20781,1098,Matching,41.609053,-87.060054,Matching,Duneland School Corporation,Chesterton Middle School,Matching,17.48,0.5,33.44,1472.75,Matching,Matching
IL,St. Clair,17163,,4.4%,1884,30,90,58.8,17.25,0,9,21375,576,Matching,38.632141,-89.998485,Matching,Collinsville CUSD 10,Hollywood Heights,Matching,68.31,19.3,66.65,2730,Matching,Matching
ID,Bonneville,16019,,4.2%,998,7,49,49.5,24.05,0,4,18401,886,Matching,43.5,-112.02,Matching,BONNEVILLE JOINT DISTRICT,FALLS VALLEY ELEMENTARY SCHOOL,Matching,1,5.04,1.65,1071.53,Matching,Matching
WI,Door,55029,,4.2%,150,5,16,10.89,1.69,0,1,3115,127,Matching,44.73415,-87.6694,Matching,Southern Door County School District,Southern Door High,Matching,0.3,1.81,17.03,294.79,Matching,Matching
AZ,Cochise,4003,,4.2%,829,25,60,32.78,11.5,0,3,7213,258,Matching,31.49,-110.41,Matching,Sonoita Elementary District,Elgin Elementary School,Matching,0,13.4,31.25,1012.39,Matching,Matching
TN,Lauderdale,47097,,4.2%,208,1,8,12,6,0,1,2555,157,Matching,35.73,-89.54,Matching,Lauderdale County,Lauderdale Middle School,Matching,3,6.2,5.33,361.33,Matching,Matching
MI,Saginaw,26145,,4.2%,1188,18,70,37.5,6,0,3,16069,492,Matching,43.432517,-83.930027,Matching,Saginaw Learn to Earn Academy,Saginaw Learn to Earn Academy,Matching,17.33,2.98,1,1409.25,Matching,Matching
UT,Sanpete,49039,,4.2%,244,2,16,8.5,4.38,0,1,4907,199,Matching,39.142989,-111.81677,Matching,SOUTH SANPETE DISTRICT,GUNNISON VALLEY HIGH,Matching,0,0,1.65,293.33,Matching,Matching
NY,Niagara,36063,,4.1%,1167,12,48,84,11.5,0,3,20915,756,Matching,43.286953,-78.694555,Matching,NEWFANE CENTRAL SCHOOL DISTRICT,NEWFANE SENIOR HIGH SCHOOL,Matching,19,41.3,53.3,2024.53,Matching,Matching
OH,Licking,39089,,4.1%,1133,15,54,40.5,6.25,0,3,23688,1062,Matching,40.024972,-82.432699,Matching,Heath City,Heath High School,Matching,8.25,14.45,9.5,1659.84,Matching,Matching
NE,Lancaster,31109,,4.0%,1776,6,79,81.24,13.62,0,5,30595,1667,Matching,40.816299,-96.64363,Matching,LINCOLN PUBLIC SCHOOLS,DONALD D SHERRILL EDUCATION CNTR - ELEM,Matching,20.82,38.29,36.2,3085.43,Matching,Matching
IL,LaSalle,17099,,4.0%,666,26,45,27.2,8,0,3,12609,525,Matching,41.411104,-89.122886,Matching,Dimmick CCSD 175,Dimmick Comm Cons School,Matching,34.93,21.49,22,1138.36,Matching,Matching
MS,Washington,28151,,3.9%,370,4,24,23,11,0,1,882,31,Matching,33.41,-90.9,Matching,LELAND SCHOOL DIST,LELAND MIDDLE SCHOOL,Matching,4,0,5,593,Matching,Matching
MS,Forrest,28035,,3.9%,432,4,21,26.9,28,0,1,5055,10,Matching,31.35,-89.23,Matching,PETAL SCHOOL DIST,PETAL HIGH SCHOOL,Matching,9,0,16,846.44,Matching,Matching
NC,Henderson,37089,,3.9%,557,2,26,33.66,9.99,0,1,9704,439,Matching,35.409286,-82.497669,Matching,Henderson County Schools,Fletcher Elementary,Matching,2,10.59,13.5,1124.89,Matching,Matching
PA,Beaver,42007,,3.9%,905,16,49,61,18,0,2,19375,665,Matching,40.677875,-80.241025,Matching,Freedom Area SD,Freedom Area SHS,Matching,7.55,19.04,41,1629.28,Matching,Matching
WV,Cabell,54011,,3.8%,503,1,27,31.5,7.5,0,1,11142,361,Matching,38.437432,-82.151035,Matching,CABELL COUNTY SCHOOLS,MILTON MIDDLE SCHOOL,Matching,3,4,9.2,845.72,Matching,Matching
SC,Charleston,45019,,3.8%,1820,1,81,127.1,44,0,3,23090,1083,Matching,32.798433,-80.074395,Matching,Charleston 01,C. E. Williams Middle School for Creative & Scientific Arts,Matching,0,3.7,91.45,3241.46,Matching,Matching
AR,Hempstead,5057,,3.8%,135,3,9,11.5,5,0,1,1383,31,Matching,33.66,-93.59,Matching,SPRING HILL SCHOOL DISTRICT,SPRING HILL HIGH SCHOOL,Matching,5,0,7.5,360,Matching,Matching
NY,Erie,36029,,3.8%,4836,48,216,345.4,36.5,0,10,79316,3898,Matching,42.757902,-78.845062,Matching,RANDOLPH ACADEMY UNION FREE SCHOOL DISTRICT,RANDOLPH ACADEMYHAMBURG CAMPUS,Matching,105.49,123.09,168.37,10256.7,Matching,Matching
PA,Fayette,42051,,3.8%,632,6,42,42,17.95,0,1,14865,616,Matching,39.885832,-79.871286,Matching,Albert Gallatin Area SD,Albert Gallatin North MS,Matching,5.55,14.11,37.5,1191,Matching,Matching
KS,Stevens,20189,,3.7%,50,2,6,5,2.8,0,1,681,28,Matching,37.17,-101.35,Matching,Hugoton Public Schools,Hugoton High,Matching,7.5,3.5,8,103.2,Matching,Matching
IL,Adams,17001,,3.7%,353,6,23,38.55,6.5,0,2,8204,326,Matching,39.931569,-91.393065,Matching,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Academic Behavior&Community Acad,Matching,10.5,6.9,23.8,617.99,Matching,Matching
PA,Allegheny,42003,,3.7%,5465,67,279,372,64.46,0,15,100081,3165,Matching,40.460053,-79.911611,Matching,Pittsburgh SD,Pittsburgh Lincoln K-5,Matching,80.99,65.63,188.8,10995.21,Matching,Matching
CA,Stanislaus,6099,,3.6%,3908,26,178,107.9,20,0,3,30833,597,Matching,37.603499,-120.94642,Matching,Ceres Unified,Mae Hensley Junior High,Matching,16.5,62.86,66.77,4778.78,Matching,Matching
Grand Total,Grand Total,Grand Total,,3.6%,1695640,17135,89053,106522.62,26630.76,0,3965,23716168,812664,Matching,,,Non-matching,,,Non-matching,20964.4,30470.16,50391.06,3037287.24,Matching,Matching
IN,Vanderburgh,18163,,3.5%,804,3,37,42.5,14,0,2,15844,332,Matching,38.007194,-87.573215,Matching,Evansville Vanderburgh Sch Corp,Academy for Innovative Studies,Matching,18,1,36,1417.5,Matching,Matching
AL,Limestone,1083,,3.5%,505,2,20,33.5,16,0,1,10148,409,Matching,34.796245,-86.967853,Matching,Athens City,Athens Middle Sch,Matching,0,0,19,860.27,Matching,Matching
NY,Oswego,36075,,3.5%,700,10,39,57,5,0,1,18438,661,Matching,43.460028,-76.260076,Matching,OSWEGO BOCES,OSWEGO BOCES,Matching,21.4,43,42,1683.94,Matching,Matching
WY,Big Horn,56003,,3.5%,82,4,16,13.46,6.63,0,1,1927,58,Matching,44.497053,-108.0507,Matching,Big Horn County School District #3,Greybull Middle School,Matching,0,2,4.89,205.56,Matching,Matching
DE,Sussex,10005,,3.5%,928,8,41,70.5,22.6,0,2,14738,644,Matching,38.590236,-75.287843,Matching,Indian River School District,Millsboro Middle School,Matching,18.77,31.25,50.1,1858.5,Matching,Matching
OH,Stark,39151,,3.5%,1923,21,102,128.36,24.35,0,4,43801,1702,Matching,40.786173,-81.377474,Matching,Canton City,Canton City Digital Academy,Matching,7.6,47.83,40.49,3273.91,Matching,Matching
OH,Marion,39101,,3.4%,418,11,26,20.75,5,0,1,10409,340,Matching,40.582962,-83.012531,Matching,River Valley Local,River Valley High School,Matching,17,11.67,12.99,806.19,Matching,Matching
OH,Mahoning,39099,,3.4%,1096,25,68,78.91,59.91,0,6,21469,585,Matching,41.113715,-80.593378,Matching,Mahoning County High School,Mahoning County High School,Matching,2,27.84,46.64,1948.62,Matching,Matching
MA,Franklin,25011,,3.4%,236,15,27,30.8,4.2,0,1,5892,175,Matching,42.691662,-72.627274,Matching,Pioneer Valley Regional School District,Pearl E Rhodes Elementary,Matching,3.4,18.43,28.07,630.97,Matching,Matching
MN,Anoka,27003,,3.4%,1866,13,89,83.69,23.7,0,7,39531,1458,Matching,45.181535,-93.3014,Matching,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,COMPASS-BELL CENTER,Matching,55.7,30.69,38.4,3520.36,Matching,Matching
CA,Madera,6039,,3.3%,936,10,68,51.08,22,0,2,6603,617,Matching,36.90406,-119.90981,Matching,Golden Valley Unified,Valley Teen Ranch Community Day,Matching,0,25.1,18.75,1338.95,Matching,Matching
MI,Barry,26015,,3.3%,307,6,22,13.8,3.2,0,2,8488,284,Matching,42.705556,-85.488791,Matching,Thornapple Kellogg School District,Thornapple Kellogg High School,Matching,7.42,4.55,0.35,474.48,Matching,Matching
IA,Buena Vista,19021,,3.3%,142,5,15,11.8,4,0,1,1959,16,Matching,42.647826,-95.226087,Matching,Storm Lake Comm School District,Storm Lake Middle School,Matching,0,0,9.8,299.24,Matching,Matching
NJ,Gloucester,34015,,3.3%,1506,28,84,132.79,20.77,0,3,33328,1221,Matching,39.79667,-75.118091,Matching,Gloucester County Special Services School District,Bankbridge Regional School,Matching,58.58,59.49,98.96,4003.04,Matching,Matching
CO,Garfield,8045,,3.2%,350,4,27,25.9,5.55,0,2,5469,245,Matching,39.442699,-108.05826,Matching,Garfield County School District No. 16,GRAND VALLEY HIGH SCHOOL,Matching,2.24,1.18,2.02,660.05,Matching,Matching
CA,Fulton,39051,,3.2%,581,9,33,41.75,2.18,0,1,11151,433,Matching,41.656482,-84.001797,Matching,San Bernardino City Unified,Curtis Middle,Matching,9,18.68,16.08,1271.68,Matching,Matching
OH,Ashland,39005,,3.2%,247,8,21,19,2,0,1,7416,241,Matching,40.873615,-82.312982,Matching,Ashland County Community Academy,Ashland County Community Academy,Matching,1,3.24,4.9,492.79,Matching,Matching
NJ,Bergen,34003,,3.2%,3883,71,256,388.7,51.72,0,19,63538,1984,Matching,40.924828,-74.005956,Matching,Bergenfield Public School District,Bergenfield High School,Matching,177.04,183.64,266.52,11038.31,Matching,Matching
FL,Charlotte,12015,,3.2%,500,1,21,37,21,0,3,11128,346,Matching,26.927298,-82.332189,Matching,CHARLOTTE,LEMON BAY HIGH SCHOOL,Matching,0,0,0,948,Matching,Matching
